product_name,product_price,old_price,discount_percentage,rating,number_of_people_rated
Kingskartel Kings-Kartel Stylish Sweatshirt & Joggers Pant (Brown & Black),"₦ 17,007 - ₦ 17,899","₦ 25,000",32%,3.8,21
Kingskartel Kings-Kartel Stylish Hoodie & Joggers Pant (Black & Yellow),"₦ 17,897 - ₦ 17,899","₦ 25,000",28%,3.6,19
Danami 2 In One Sweat Shorts- Black & Light Grey,"₦ 12,529","₦ 13,999",11%,4.1,35
Three In One Smart Chinos  Black + Chocolate Brown + Brown,"₦ 37,700 - ₦ 38,999",,,,
Trousers Men's 2-in-1 Short Sleeved T-shirt And Pants Set - Black,"₦ 8,815 - ₦ 9,850","₦ 14,350",39%,3.5,62
5-Tiers Metal Shoe Rack Hat Rack With 16 Hooks,"₦ 10,695","₦ 29,800",64%,4,92
2pcs Men's Sports Fashion Printed Hoodie Long Sleeve Casual,"₦ 10,784","₦ 20,400",47%,4,6
"Men's 2-piece Set - T-shirt + Trousers, Hip-hop Athleisure Loose Suit","₦ 11,626","₦ 25,800",55%,3.5,11
Kingskartel Kings Kartel Round Neck T-Shirt And Joggers Pant,"₦ 16,103 - ₦ 16,109","₦ 22,000 - ₦ 22,001",27%,4.1,36
VEJARO BC003 Infant Baby Clothes Sets Dinosaur-Yellow Stripe,"₦ 5,380","₦ 10,800",50%,4.1,229
Good Vibes Designed T-shirts - White & Brown,"₦ 13,066 - ₦ 15,622","₦ 20,000 - ₦ 30,000",56%,2.7,3
Trendy Blue Up And Down Wears Pk2,"₦ 16,000 - ₦ 20,000",,,3,2
Kingskartel Kings Kartel All White Hoodie & Joggers Pant,"₦ 16,109 - ₦ 17,899","₦ 20,000 - ₦ 25,000",28%,4.4,25
Trendy Blue Up And Down Wears Pk2,"₦ 14,320 - ₦ 17,900","₦ 16,000 - ₦ 20,000",11%,3.6,8
VEJARO BC002 Infant Baby Clothes Sets Pattern Penguin-Blue,"₦ 4,099 - ₦ 5,180","₦ 10,800",62%,4.1,133
3 In 1 Combo Stylish Unisex Up & Down Envogue Jacket - Blue,"₦ 24,572 - ₦ 35,000","₦ 27,455 - ₦ 35,000",11%,3.7,11
Kingskartel KIngs Kartel Stylish Black And White Hoodie And Joggers Pant,"₦ 17,004 - ₦ 17,007","₦ 19,997 - ₦ 20,000",15%,3.8,6
Stylish Multicolor Unisex Up And Down Wears Pk,"₦ 16,000 - ₦ 20,000",,,5,2
Trendy Offwhite Up And Down Wears,"₦ 16,000 - ₦ 20,000",,,3.9,33
Stylish Multicolor Unisex Up And Down Wears Pk8,"₦ 16,000 - ₦ 20,000",,,3,3
Kids Jacket Hoodies Sun Protection Clothing Sweatshirt With Zipper Cardigan,₦ 717 - ₦ 814,"₦ 1,595",55%,3.6,9
Best Styled Up And Down Wears  With Prints Pk3,"₦ 16,500 - ₦ 20,000",,,4.2,21
Grey Hoodie And Joggers Manchester United Prints,"₦ 14,320 - ₦ 17,900","₦ 16,000 - ₦ 20,000",11%,3.3,7
Kingskartel Kings Kartel Stylish White And Green Sweatshirt And Joggers,"₦ 17,999 - ₦ 18,999","₦ 20,000",10%,3.4,12
Wooden Hanger -10 Pieces,"₦ 12,350","₦ 17,500",29%,4.5,97
Trendy Offwhite Up And Down Wears,"₦ 17,000",,,3.8,20
"2pcs Men's Short Sleeve T-shirt+Shorts, Casual Sports Suit","₦ 13,919 - ₦ 15,800","₦ 29,800",53%,5,1
Trendy Offwhite Up And Down Wears,"₦ 16,000 - ₦ 20,000",,,4.3,3
Unisex Elegant Envogue Up & Down T-Shirt  - Multi,"₦ 14,999 - ₦ 15,999",,,4.2,13
Danami Pack Of 2 Plain Sleeveless Hooded T Shirt- Black & Grey,"₦ 12,440 - ₦ 13,335","₦ 16,000",22%,3.9,12
Best Styled Up And Down Wears  With Prints Pk1,"₦ 17,000 - ₦ 20,000",,,4.3,4
Trendy Offwhite Up And Down Wears,"₦ 16,000 - ₦ 20,000",,,5,1
Stylish Multicolor Unisex Up And Down Wears Pk3,"₦ 14,000 - ₦ 17,500",,,4,1
Classy 3 Column Mobile Steel Wardrobe Closet(Brown),"₦ 24,995","₦ 30,000",17%,3.8,387
Danami Plain Black Cargo Combat Sweat Shorts & White Sleeveless T-Shirt,"₦ 8,860 - ₦ 12,000","₦ 9,900 - ₦ 12,000",11%,3.6,11
Stylish Multicolor Unisex Up And Down Wears Pk1,"₦ 15,000 - ₦ 19,000",,,4.2,6
Quality Styled Up And Down Wears Pk7,"₦ 16,500 - ₦ 20,000",,,3.8,16
